day,month,year,dn_1,dn_2,dn_3,dn_4,dn_5,grand_number
23,7,2026,8,26,33,39,42,7
20,7,2026,19,21,25,36,41,4
16,7,2026,3,9,23,29,42,7
13,7,2026,5,24,32,37,46,5
9,7,2026,7,8,14,16,24,6
6,7,2026,5,16,19,31,40,5
2,7,2026,15,22,30,31,49,2
29,6,2026,9,14,15,41,42,6
25,6,2026,8,23,24,40,42,3
22,6,2026,1,3,11,19,31,3
18,6,2026,25,31,32,33,41,3
15,6,2026,12,18,19,27,39,7
11,6,2026,4,6,12,21,38,2
8,6,2026,3,11,19,36,37,5
4,6,2026,5,25,29,30,45,3
1,6,2026,5,12,27,29,43,6
28,5,2026,7,11,14,33,43,6
25,5,2026,5,8,14,35,43,6
21,5,2026,2,10,13,26,46,4
18,5,2026,6,7,28,36,48,3
14,5,2026,19,21,37,46,47,3
11,5,2026,17,19,20,30,31,2
7,5,2026,4,13,14,24,29,1
4,5,2026,1,16,21,32,41,4
30,4,2026,15,21,25,43,47,7
27,4,2026,5,6,17,33,48,4
23,4,2026,16,22,28,29,49,5
20,4,2026,1,29,31,42,49,7
16,4,2026,18,21,34,37,47,6
13,4,2026,2,11,19,29,30,4
9,4,2026,11,20,35,41,45,3
6,4,2026,8,17,29,33,38,4
2,4,2026,1,21,31,35,46,4
30,3,2026,9,12,28,42,48,2
26,3,2026,2,4,10,22,31,6
23,3,2026,8,17,28,37,46,7
19,3,2026,14,16,29,37,43,2
16,3,2026,18,19,26,30,43,6
12,3,2026,4,22,28,29,49,5
9,3,2026,8,13,14,16,37,2
5,3,2026,1,20,21,27,42,7
2,3,2026,5,15,28,31,34,7
26,2,2026,3,10,13,43,46,5
23,2,2026,21,22,36,39,41,4
19,2,2026,1,19,33,46,48,3
16,2,2026,1,24,25,38,47,2
12,2,2026,13,26,28,34,41,5
9,2,2026,2,14,25,38,47,2
5,2,2026,4,22,25,33,49,1
2,2,2026,5,14,40,43,49,1
29,1,2026,6,12,21,37,39,4
26,1,2026,4,6,28,45,48,2
22,1,2026,12,23,25,46,49,7
19,1,2026,10,17,25,32,41,3
15,1,2026,11,15,18,26,36,2
12,1,2026,5,17,19,35,45,2
8,1,2026,2,13,19,26,36,7
5,1,2026,11,30,38,40,43,6
1,1,2026,1,5,7,38,47,1
29,12,2025,6,22,27,32,47,4
25,12,2025,24,30,33,38,44,3
22,12,2025,13,25,36,41,44,5
18,12,2025,4,5,31,36,47,4
15,12,2025,5,12,31,44,46,3
11,12,2025,20,22,28,33,41,1
8,12,2025,6,23,31,32,37,6
4,12,2025,11,12,36,37,42,2
1,12,2025,4,24,43,44,45,5
27,11,2025,5,8,21,36,43,2
24,11,2025,8,26,27,33,47,2
20,11,2025,2,5,8,36,46,6
17,11,2025,11,12,24,33,39,3
13,11,2025,7,27,28,39,43,2
10,11,2025,2,10,21,37,40,3
6,11,2025,3,10,17,21,28,3
3,11,2025,2,6,15,29,34,1
30,10,2025,7,25,38,39,48,1
27,10,2025,16,37,42,45,46,1
23,10,2025,3,5,10,34,39,4
20,10,2025,2,22,25,35,43,7
16,10,2025,1,6,19,25,33,6
13,10,2025,5,21,25,32,35,7
9,10,2025,4,24,26,45,48,6
6,10,2025,14,18,19,39,49,2
2,10,2025,1,4,18,28,35,1
29,9,2025,13,16,24,29,38,2
25,9,2025,25,39,42,45,46,5
22,9,2025,23,25,29,42,43,5
18,9,2025,11,22,27,30,48,5
15,9,2025,5,6,29,33,48,2
11,9,2025,18,32,41,43,47,5
8,9,2025,1,24,33,42,49,1
4,9,2025,1,3,12,16,24,2
1,9,2025,8,9,18,35,42,4
28,8,2025,5,6,13,20,49,2
25,8,2025,11,21,33,35,45,5
21,8,2025,2,7,8,9,41,4
18,8,2025,6,7,32,35,44,7
14,8,2025,17,24,30,43,46,2
11,8,2025,1,24,38,45,47,6
7,8,2025,7,10,19,21,37,1
4,8,2025,9,13,23,31,42,7
31,7,2025,5,27,32,37,47,6
28,7,2025,3,11,12,30,43,6
24,7,2025,1,2,3,9,37,4
21,7,2025,1,2,39,41,49,6
17,7,2025,7,9,14,21,22,3
14,7,2025,17,22,26,37,43,3
10,7,2025,16,25,31,42,47,2
7,7,2025,2,3,8,9,35,5
3,7,2025,5,20,25,27,49,5
30,6,2025,11,28,44,45,47,7
26,6,2025,7,12,39,42,48,3
23,6,2025,11,14,32,35,44,2
19,6,2025,25,30,35,36,38,2
16,6,2025,7,11,17,20,21,1
12,6,2025,6,8,32,33,37,1
9,6,2025,16,18,31,34,45,1
5,6,2025,12,21,32,37,48,6
2,6,2025,9,35,45,47,49,5
29,5,2025,2,8,10,23,31,6
26,5,2025,4,7,22,37,42,2
22,5,2025,24,35,36,43,44,2
19,5,2025,15,21,33,37,47,2
15,5,2025,6,8,9,24,41,6
12,5,2025,1,21,25,37,42,1
8,5,2025,7,10,15,40,47,7
5,5,2025,9,35,37,39,45,2
1,5,2025,2,18,27,39,48,6
28,4,2025,3,5,14,45,48,2
24,4,2025,22,23,24,26,27,4
21,4,2025,23,32,42,44,49,7
17,4,2025,29,31,46,47,48,5
14,4,2025,1,15,16,29,32,4
10,4,2025,1,7,18,46,49,2
7,4,2025,12,23,25,31,43,7
3,4,2025,5,7,34,38,42,3
31,3,2025,13,18,19,20,45,1
27,3,2025,12,22,30,45,48,5
24,3,2025,9,11,20,28,42,7
20,3,2025,2,11,25,28,31,5
17,3,2025,3,14,23,37,47,5
13,3,2025,2,14,15,19,47,1
10,3,2025,37,39,45,48,49,7
6,3,2025,2,4,8,32,34,1
3,3,2025,1,5,9,27,40,1
27,2,2025,14,25,28,32,37,1
24,2,2025,13,26,30,36,39,4
20,2,2025,10,16,29,37,40,6
17,2,2025,2,6,13,27,42,3
13,2,2025,7,26,44,47,48,7
10,2,2025,7,17,25,36,42,6
6,2,2025,3,24,25,35,42,7
3,2,2025,8,15,16,31,43,2
30,1,2025,1,5,36,48,49,4
27,1,2025,10,22,30,33,42,6
23,1,2025,6,10,15,27,44,3
20,1,2025,1,32,35,45,48,1
16,1,2025,18,30,33,37,42,1
13,1,2025,2,5,42,44,46,3
9,1,2025,1,4,9,30,34,7
6,1,2025,2,18,27,40,43,4
2,1,2025,6,21,40,45,47,5
30,12,2024,12,20,30,35,37,2
26,12,2024,2,8,12,15,18,3
23,12,2024,4,7,19,35,45,4
19,12,2024,4,6,21,27,33,2
16,12,2024,1,3,15,36,40,3
12,12,2024,10,12,20,36,44,4
9,12,2024,7,11,14,27,40,2
5,12,2024,23,28,36,41,42,6
2,12,2024,6,10,14,28,44,3
28,11,2024,2,9,29,36,38,5
25,11,2024,8,15,20,30,33,2
21,11,2024,2,19,33,35,45,6
18,11,2024,2,18,23,44,48,2
14,11,2024,1,17,27,43,46,1
11,11,2024,5,26,33,41,45,7
7,11,2024,20,25,31,37,49,4
4,11,2024,5,18,25,32,39,1
31,10,2024,10,26,30,35,48,5
28,10,2024,6,14,18,33,41,2
24,10,2024,23,29,41,45,47,7
21,10,2024,15,23,27,33,39,6
17,10,2024,3,10,14,28,49,3
14,10,2024,5,18,25,26,42,3
10,10,2024,5,10,25,41,46,6
7,10,2024,1,23,27,29,32,2
3,10,2024,10,32,41,46,47,6
30,9,2024,6,18,25,35,43,5
26,9,2024,23,27,33,39,44,5
23,9,2024,16,23,24,44,49,6
19,9,2024,6,23,29,33,39,5
16,9,2024,15,31,34,39,44,3
12,9,2024,6,41,42,43,49,1
9,9,2024,16,17,18,23,46,4
5,9,2024,22,23,24,27,38,7
2,9,2024,7,9,28,31,45,4
29,8,2024,11,12,20,27,32,4
26,8,2024,5,11,13,17,22,2
22,8,2024,4,7,18,20,46,6
19,8,2024,4,6,29,44,45,2
15,8,2024,1,3,19,40,46,6
12,8,2024,22,34,37,44,48,2
8,8,2024,28,33,35,37,42,7
5,8,2024,2,11,22,28,45,5
1,8,2024,1,18,22,26,34,1
29,7,2024,19,24,30,31,45,7
25,7,2024,1,24,42,43,47,5
22,7,2024,6,29,37,41,46,6
18,7,2024,12,13,25,34,42,7
15,7,2024,5,19,28,42,46,3
11,7,2024,7,16,24,27,48,4
8,7,2024,22,28,31,36,49,6
4,7,2024,2,17,19,34,38,5
1,7,2024,1,18,20,46,48,3
27,6,2024,7,17,20,29,45,4
24,6,2024,7,20,30,33,41,6
20,6,2024,16,23,24,31,39,7
17,6,2024,12,23,24,36,45,3
13,6,2024,5,9,17,18,36,6
10,6,2024,14,18,37,39,44,1
6,6,2024,1,3,23,25,26,4
3,6,2024,10,24,26,28,33,1
30,5,2024,14,18,23,36,44,7
27,5,2024,16,27,36,45,47,2
23,5,2024,11,31,37,42,45,7
20,5,2024,8,14,16,38,39,6
16,5,2024,16,25,30,35,36,2
13,5,2024,5,24,33,44,46,7
9,5,2024,3,7,18,21,47,3
6,5,2024,6,14,26,28,34,4
2,5,2024,10,11,16,43,47,5
29,4,2024,18,27,41,43,48,2
25,4,2024,3,12,15,19,37,4
22,4,2024,7,13,17,22,44,6
18,4,2024,6,12,17,41,48,2
15,4,2024,4,21,23,37,43,2
11,4,2024,13,14,22,28,42,6
8,4,2024,9,17,31,34,48,2
4,4,2024,3,4,8,13,33,1
1,4,2024,4,7,10,32,33,4
28,3,2024,6,27,32,42,49,5
25,3,2024,15,28,34,37,41,6
21,3,2024,18,22,29,32,34,5
18,3,2024,7,14,29,35,38,5
14,3,2024,11,18,25,28,42,7
11,3,2024,10,19,23,25,36,7
7,3,2024,13,28,37,42,49,7
4,3,2024,5,13,34,39,42,6
29,2,2024,7,15,22,36,42,2
26,2,2024,8,11,17,23,38,1
22,2,2024,3,21,27,30,35,3
19,2,2024,1,10,21,24,33,1
15,2,2024,4,22,35,40,44,4
12,2,2024,4,20,29,33,43,5
8,2,2024,6,19,38,42,47,6
5,2,2024,7,9,39,44,46,2
1,2,2024,17,20,36,37,46,2
29,1,2024,9,19,22,47,49,3
25,1,2024,7,11,30,31,47,6
22,1,2024,24,29,32,44,49,1
18,1,2024,12,17,19,23,41,6
15,1,2024,10,12,21,45,46,1
11,1,2024,2,3,20,35,46,4
8,1,2024,2,6,14,37,43,1
4,1,2024,27,38,42,47,49,7
1,1,2024,10,27,34,46,49,6
28,12,2023,2,11,17,32,34,6
25,12,2023,2,13,24,27,34,3
21,12,2023,11,14,39,44,46,4
18,12,2023,6,12,15,29,48,5
14,12,2023,2,5,13,18,29,7
11,12,2023,12,18,25,34,40,1
7,12,2023,3,10,20,26,39,5
4,12,2023,1,8,11,26,37,2
30,11,2023,31,32,34,39,49,6
27,11,2023,13,16,18,27,30,6
23,11,2023,1,12,14,20,31,4
20,11,2023,3,36,38,42,48,6
16,11,2023,5,27,30,41,42,2
13,11,2023,1,8,28,40,45,5
9,11,2023,1,11,12,33,44,4
6,11,2023,13,15,17,38,46,6
2,11,2023,7,8,24,26,47,7
30,10,2023,7,25,31,43,49,4
26,10,2023,7,22,25,39,43,3
23,10,2023,7,17,27,31,44,5
19,10,2023,3,22,24,31,47,4
16,10,2023,11,27,30,41,42,6
12,10,2023,2,5,21,30,46,7
5,10,2023,2,5,9,13,48,7
2,10,2023,5,12,23,41,49,2
28,9,2023,30,31,34,35,47,2
25,9,2023,2,22,34,36,37,6
21,9,2023,2,7,12,21,27,5
18,9,2023,7,21,28,33,42,2
14,9,2023,4,13,28,35,49,6
11,9,2023,10,11,13,25,36,7
7,9,2023,1,10,25,31,39,5
4,9,2023,11,14,25,37,39,7
31,8,2023,13,26,38,39,41,6
28,8,2023,2,13,16,30,49,6
24,8,2023,3,5,15,21,28,2
21,8,2023,4,10,13,18,47,2
17,8,2023,12,13,16,28,34,1
14,8,2023,6,21,24,28,33,1
10,8,2023,15,25,28,29,31,2
7,8,2023,2,11,18,27,47,6
3,8,2023,7,12,17,18,28,6
31,7,2023,1,10,23,32,37,5
27,7,2023,6,14,18,35,45,7
24,7,2023,13,23,30,31,37,3
20,7,2023,1,8,33,45,46,4
17,7,2023,5,8,25,27,37,4
13,7,2023,17,19,35,38,40,2
10,7,2023,5,19,27,41,46,6
6,7,2023,9,10,14,32,41,5
3,7,2023,17,19,20,39,42,7
29,6,2023,1,39,44,46,48,3
26,6,2023,12,14,23,41,48,5
22,6,2023,14,17,27,29,47,7
19,6,2023,4,16,18,30,48,6
15,6,2023,5,7,12,24,28,4
12,6,2023,12,20,26,34,45,4
8,6,2023,14,19,23,28,48,5
5,6,2023,6,19,23,38,43,5
1,6,2023,1,13,20,37,41,3
29,5,2023,4,14,20,23,35,5
25,5,2023,4,12,16,21,46,5
22,5,2023,4,17,20,34,39,5
18,5,2023,3,8,20,40,43,6
15,5,2023,24,28,37,39,46,6
11,5,2023,4,5,12,14,25,6
8,5,2023,2,9,15,22,33,3
4,5,2023,1,2,8,46,47,4
1,5,2023,11,12,20,47,48,6
27,4,2023,4,8,16,17,20,5
24,4,2023,6,27,30,38,45,5
20,4,2023,6,7,13,32,41,7
17,4,2023,4,17,34,35,45,1
13,4,2023,4,11,35,38,46,5
10,4,2023,13,34,35,37,46,7
6,4,2023,17,21,34,36,37,1
3,4,2023,1,16,28,31,33,1
30,3,2023,8,9,13,38,40,2
27,3,2023,14,24,31,47,49,4
23,3,2023,11,13,16,18,21,2
20,3,2023,5,7,17,25,35,1
16,3,2023,16,17,26,41,48,2
13,3,2023,2,9,11,20,34,2
9,3,2023,2,10,11,21,38,4
6,3,2023,15,17,21,35,36,2
2,3,2023,3,16,17,23,36,2
27,2,2023,5,15,26,38,44,7
23,2,2023,5,19,20,22,27,1
20,2,2023,7,17,19,24,45,1
16,2,2023,13,16,17,18,21,3
13,2,2023,6,10,19,27,38,3
9,2,2023,14,31,33,38,47,1
6,2,2023,7,10,26,33,44,7
2,2,2023,11,14,16,23,44,7
30,1,2023,20,23,31,34,42,1
26,1,2023,17,24,28,32,37,5
23,1,2023,16,19,22,37,44,5
19,1,2023,7,9,23,34,43,5
16,1,2023,14,19,21,36,48,1
12,1,2023,4,7,27,33,48,7
9,1,2023,5,13,15,22,45,6
5,1,2023,1,27,32,33,35,4
2,1,2023,2,19,20,27,47,5
29,12,2022,1,11,20,31,43,3
26,12,2022,4,7,16,30,43,5
22,12,2022,12,20,28,41,44,2
19,12,2022,9,26,28,29,48,2
15,12,2022,10,24,33,43,44,7
12,12,2022,2,3,20,26,28,2
8,12,2022,17,32,33,41,45,4
5,12,2022,9,39,40,41,45,1
1,12,2022,1,26,27,38,46,7
28,11,2022,6,8,10,32,33,2
24,11,2022,25,32,42,43,46,4
21,11,2022,5,7,12,32,49,6
17,11,2022,13,22,31,37,45,2
14,11,2022,2,3,5,12,27,3
10,11,2022,2,15,20,31,49,3
7,11,2022,3,15,27,41,47,5
3,11,2022,15,18,28,33,45,7
31,10,2022,15,33,36,41,48,1
27,10,2022,7,8,23,41,45,4
24,10,2022,16,23,34,36,45,2
20,10,2022,14,19,20,37,40,6
17,10,2022,18,31,34,36,42,1
13,10,2022,5,11,20,22,37,4
10,10,2022,5,11,15,21,43,6
6,10,2022,14,19,30,38,48,4
3,10,2022,17,20,23,28,45,6
29,9,2022,4,5,20,26,48,1
26,9,2022,7,18,26,33,39,6
22,9,2022,3,22,26,40,45,4
19,9,2022,4,7,8,11,13,4
15,9,2022,3,11,23,33,48,4
12,9,2022,1,11,37,41,46,2
8,9,2022,8,22,28,42,43,4
5,9,2022,2,4,13,15,45,2
1,9,2022,14,15,34,41,44,4
29,8,2022,7,11,32,37,41,5
25,8,2022,3,8,14,24,33,7
22,8,2022,5,12,14,44,49,1
18,8,2022,6,11,18,22,34,2
15,8,2022,15,26,38,40,45,4
11,8,2022,28,37,43,45,47,7
8,8,2022,1,22,29,34,47,5
4,8,2022,8,22,27,36,43,6
1,8,2022,16,20,27,36,42,2
28,7,2022,1,3,18,23,33,4
25,7,2022,1,7,31,41,46,7
21,7,2022,13,18,28,30,41,2
18,7,2022,5,6,12,33,48,3
14,7,2022,3,12,14,16,45,4
11,7,2022,1,5,18,34,49,2
7,7,2022,15,23,24,36,46,4
4,7,2022,18,30,32,34,44,4
30,6,2022,10,31,35,45,46,7
27,6,2022,3,4,5,19,25,7
23,6,2022,16,17,18,32,44,5
20,6,2022,7,8,18,21,32,1
16,6,2022,1,15,23,36,44,7
13,6,2022,3,9,18,43,46,5
9,6,2022,1,13,15,43,48,2
6,6,2022,24,31,32,44,47,6
2,6,2022,4,26,37,40,44,4
30,5,2022,11,14,27,36,44,5
26,5,2022,13,14,28,34,48,6
23,5,2022,7,12,27,28,33,1
19,5,2022,13,14,30,31,34,6
16,5,2022,7,32,34,40,44,2
12,5,2022,2,3,12,25,32,6
9,5,2022,14,29,40,45,47,1
5,5,2022,6,23,25,38,41,1
2,5,2022,1,8,17,26,38,1
28,4,2022,11,17,20,39,40,3
25,4,2022,11,25,29,30,40,6
21,4,2022,2,6,16,42,44,4
18,4,2022,1,13,15,28,37,2
14,4,2022,12,23,26,30,32,4
11,4,2022,32,34,40,42,43,2
7,4,2022,17,27,32,36,38,2
4,4,2022,1,8,11,22,27,3
31,3,2022,2,6,23,45,48,7
28,3,2022,7,11,13,16,40,5
24,3,2022,9,14,29,34,37,2
21,3,2022,8,17,18,26,29,7
17,3,2022,6,10,12,35,42,6
14,3,2022,3,9,13,17,45,4
10,3,2022,5,26,27,43,47,5
7,3,2022,8,11,32,34,43,7
3,3,2022,1,24,29,37,43,2
28,2,2022,8,13,24,32,46,6
24,2,2022,16,29,31,34,35,5
21,2,2022,2,18,33,35,39,7
17,2,2022,8,10,30,40,44,3
14,2,2022,2,7,17,45,49,2
10,2,2022,1,2,18,38,49,1
7,2,2022,6,23,25,44,46,2
3,2,2022,15,19,24,30,43,4
31,1,2022,4,13,17,32,47,4
27,1,2022,2,29,34,46,47,2
24,1,2022,12,13,23,28,45,6
20,1,2022,4,16,40,43,49,3
17,1,2022,6,16,42,45,46,6
13,1,2022,7,21,25,33,48,7
10,1,2022,10,28,35,40,43,5
6,1,2022,31,39,41,44,49,1
3,1,2022,6,8,15,29,41,6
30,12,2021,21,25,29,42,43,1
27,12,2021,8,26,33,46,48,1
23,12,2021,8,17,30,31,47,3
20,12,2021,3,37,38,40,45,4
16,12,2021,6,22,33,38,39,6
13,12,2021,14,16,17,37,38,6
9,12,2021,8,19,29,35,43,6
6,12,2021,14,17,27,30,39,7
2,12,2021,1,17,39,45,48,2
29,11,2021,1,4,5,6,41,2
25,11,2021,13,17,19,32,34,7
22,11,2021,14,15,21,22,47,3
18,11,2021,1,9,35,36,40,2
15,11,2021,17,21,22,31,46,2
11,11,2021,17,19,21,33,47,5
8,11,2021,6,14,25,37,41,1
4,11,2021,19,31,34,35,48,5
1,11,2021,5,13,15,17,49,3
28,10,2021,11,26,29,32,44,2
25,10,2021,6,20,38,43,46,2
21,10,2021,3,8,14,32,43,1
18,10,2021,10,16,20,29,35,6
14,10,2021,8,18,26,38,40,6
11,10,2021,11,15,19,34,42,4
7,10,2021,2,9,16,31,39,2
4,10,2021,5,9,10,41,47,3
30,9,2021,17,18,25,39,44,2
27,9,2021,1,12,26,34,35,1
23,9,2021,2,3,5,32,38,4
20,9,2021,6,16,32,44,47,3
16,9,2021,3,21,28,32,37,6
13,9,2021,1,17,23,38,43,2
